major_topic,question,topics
complex_analysis,Find all the values of $\ln(i^{1/2})$.,"Complex Logarithm and Powers,Complex Numbers,Euler's Formula and De Moivre's Formula"
complex_analysis,"Find all the values of $(i)^i$ and show that they are all real. Hence, or otherwise, find all $z$ such that $z^i$ is real.","Complex Logarithm and Powers,Complex Numbers"
complex_analysis,Does the limit of $f(z) = \frac{x^2y}{x^3+y^3} + ixy$ at the origin exist?,"Complex Numbers,Limits and Continuity of Complex Functions"
complex_analysis,Does the limit of $f(z) = \frac{\bar{z}}{z} - \frac{z}{\bar{z}^2}$ at the origin exist?,Limits and Continuity of Complex Functions
complex_analysis,Determine whether $f(z) = \begin{cases} \text{Re}\left[\frac{z}{|z|}\right] & z \neq 0 \\ 0 & z = 0 \end{cases}$ is continuous at the origin.,"Complex Numbers,Limits and Continuity of Complex Functions"
complex_analysis,Determine whether $f(z) = \begin{cases} \text{Im}\left[\frac{z}{1+|z|}\right] & z \neq 0 \\ 0 & z = 0 \end{cases}$ is continuous at the origin.,"Complex Numbers,Limits and Continuity of Complex Functions"
complex_analysis,"For $f(z) = \begin{cases} \text{Im}\left[\frac{z}{|z|}\right] & z \neq 0 \\ 0 & z = 0 \end{cases}$, determine if $f(z)$ is continuous at $z = 0$, $z = 5$ and $z = 5 + i$.","Complex Numbers,Limits and Continuity of Complex Functions"
complex_analysis,"Find the constants $a$ and $b$ such that $f(z) = (2x - y) + i(ax + by)$ is differentiable for all $z$. Hence, find $f'(z)$.","Cauchy-Riemann Equations,Complex Numbers,Differentiability and Analyticity of Complex Functions"
complex_analysis,"Are the following functions analytic: (i) $f(z) = \text{Re}[z^2]$, (ii) $f(z) = \frac{i}{z^4}$, (iii) $f(z) = z - \bar{z}$, (iv) $f(z) = e^x(\sin y - i\cos y)$?","Cauchy-Riemann Equations,Complex Numbers,Differentiability and Analyticity of Complex Functions"
complex_analysis,"Find $f'(z)$, the derivative of $f(z) = 2xy - ix^2$. State clearly the point (or points) where $f'(z)$ exists.","Cauchy-Riemann Equations,Differentiability and Analyticity of Complex Functions"
complex_analysis,"Using the Cauchy-Riemann equations, determine the analyticity of the function $f(z) = z^2 - 2z + 3$ and find its derivative.","Cauchy-Riemann Equations,Differentiability and Analyticity of Complex Functions"
complex_analysis,"Evaluate $\int_C f(z) dz$ where $f(z) = \text{Re}[z]$, $C$ is the parabola $y = x^2$ from $0$ to $1 + i$.","Complex Integration,Complex Numbers"
complex_analysis,"Evaluate $\int_C f(z) dz$ where $f(z) = 4z - 3$, $C$ is the straight line segment from $i$ to $1 + i$.","Complex Integration,Complex Numbers"
complex_analysis,"Evaluate $\int_C f(z) dz$ where $f(z) = e^z$, $C$ is the boundary of the square with vertices $0, 1, 1+i$, and $i$ (clockwise).","Cauchy's Integral Theorem and Formula,Complex Integration"
complex_analysis,"Evaluate $\int_C f(z) dz$ where $f(z) = \text{Im}[z^2]$, $C$ is the boundary of the square with vertices $0, 1, 1+i$, and $i$ (clockwise).","Complex Integration,Complex Numbers"
complex_analysis,Integrate $\frac{1}{z^4-1}$ counterclockwise around the circle $|z-1|=1$.,"Cauchy's Integral Theorem and Formula,Complex Integration,Complex Numbers"
complex_analysis,Integrate $\frac{1}{z^4-1}$ counterclockwise around the circle $|z-3|=1$.,"Cauchy's Integral Theorem and Formula,Complex Integration"
complex_analysis,Evaluate the integral $\int_C \frac{5z}{z^2+4} dz$ where $C$ is any simple closed path such that all the singularities lie inside $C$ (CCW).,"Cauchy's Integral Theorem and Formula,Complex Integration,Complex Numbers"
